Date,Close/Last,Volume,Open,High,Low
05/06/2021,773.3338,--,780.3116,784.531,757.726
05/05/2021,788.0096,--,798.8258,803.3517,781.7505
05/04/2021,792.4943,--,809.4161,810.3069,780.6831
05/03/2021,827.8517,--,850.2985,850.7267,826.823
04/30/2021,847.1888,--,847.2521,863.4458,844.2689
04/29/2021,862.1372,--,888.6002,889.158,851.273
04/28/2021,883.5485,--,884.4023,890.3365,877.8601
04/27/2021,901.9023,--,916.0657,916.3005,900.9844
04/26/2021,915.2921,--,898.0831,917.3546,890.9414
04/23/2021,891.7722,--,870.103,894.6622,866.474
04/22/2021,863.4339,--,869.2998,884.6089,856.0656
04/21/2021,854.9584,--,814.0825,855.1368,807.2527
04/20/2021,821.3564,--,832.4105,843.2454,809.9412
04/19/2021,832.7899,--,850.6886,860.2698,823.2887
04/16/2021,856.45,--,843.1014,858.988,840.6108
04/15/2021,842.3178,--,866.4611,866.4611,827.555
04/14/2021,859.6706,--,880.8039,883.5842,857.1247
04/13/2021,868.9102,--,859.5856,869.4964,850.8238
04/12/2021,858.9878,--,864.6642,864.6642,849.1635
04/09/2021,870.1204,--,869.5231,871.5656,860.7081
04/08/2021,877.2609,--,873.1025,884.5198,869.8832
04/07/2021,864.8746,--,897.2942,897.2942,861.3397
04/06/2021,902.1049,--,890.8273,912.156,889.4928
04/05/2021,890.2734,--,921.4885,922.7874,886.9409
04/01/2021,904.2593,--,914.1247,930.6694,901.9353
03/31/2021,896.3543,--,876.5971,903.7908,876.4729
03/30/2021,860.1938,--,819.0533,861.8516,814.6017
03/29/2021,821.4847,--,854.157,856.4835,814.9668
03/26/2021,860.8411,--,851.5387,862.9508,829.8889
03/25/2021,845.1942,--,805.6949,847.9767,801.112
03/24/2021,832.516,--,878.6498,879.1261,832.3395
03/23/2021,870.5047,--,898.3184,906.8612,865.2873
03/22/2021,903.7889,--,901.3157,916.2759,889.9831
03/19/2021,888.5314,--,869.4303,893.7266,858.5718
03/18/2021,869.1716,--,908.0658,910.464,867.6197
03/17/2021,925.6768,--,896.5048,933.4822,889.4368
03/16/2021,927.3709,--,949.6033,955.1154,918.9472
03/15/2021,956.34,--,947.1777,959.9994,939.0827
03/12/2021,949.2154,--,923.4996,952.1472,917.4727
03/11/2021,955.7407,--,923.3953,956.2022,918.2624
03/10/2021,893.7404,--,922.3359,937.1663,883.8124
03/09/2021,889.092,--,848.2991,896.6368,847.5782
03/08/2021,811.5774,--,844.3394,863.4514,809.6006
03/05/2021,845.084,--,869.2014,869.3419,770.0916
03/04/2021,856.1342,--,891.708,914.6906,829.2721
03/03/2021,906.8527,--,959.5593,967.6727,906.8109
03/02/2021,958.7829,--,1003.14,1003.14,958.03
03/01/2021,1005.24,--,982.538,1005.36,977.0196
02/26/2021,955.2232,--,939.1875,967.2364,917.8287
02/25/2021,932.2645,--,994.4014,999.408,926.4983
02/24/2021,1006.40,--,970.1723,1006.73,950.4079
02/23/2021,966.3295,--,937.217,970.7567,878.1366
02/22/2021,985.0563,--,1034.11,1036.84,981.8402
02/19/2021,1057.00,--,1043.95,1073.91,1042.11
02/18/2021,1021.15,--,1040.22,1050.32,1013.25
02/17/2021,1077.59,--,1086.35,1092.57,1053.19
02/16/2021,1105.63,--,1151.84,1153.30,1100.33
02/12/2021,1137.78,--,1125.40,1140.41,1112.11
02/11/2021,1134.39,--,1137.14,1143.09,1116.59
02/10/2021,1127.11,--,1169.34,1176.46,1118.49
02/09/2021,1152.37,--,1135.73,1157.89,1135.73
02/08/2021,1137.81,--,1117.66,1139.68,1117.17
02/05/2021,1105.59,--,1109.94,1111.88,1092.08
02/04/2021,1099.98,--,1098.45,1104.94,1087.67
02/03/2021,1099.76,--,1094.71,1105.59,1079.83
02/02/2021,1090.23,--,1095.60,1099.57,1072.78
02/01/2021,1078.84,--,1066.80,1080.18,1040.55
01/29/2021,1044.18,--,1080.87,1092.58,1034.24
01/28/2021,1080.29,--,1071.19,1085.90,1051.83
01/27/2021,1069.13,--,1072.56,1104.88,1052.08
01/26/2021,1121.04,--,1126.95,1137.38,1113.28
01/25/2021,1115.47,--,1144.61,1169.84,1094.27
01/22/2021,1133.43,--,1104.73,1134.22,1103.54
01/21/2021,1121.08,--,1100.24,1123.32,1081.01
01/20/2021,1093.68,--,1116.68,1119.45,1082.01
01/19/2021,1107.43,--,1087.29,1108.61,1077.70
01/15/2021,1055.38,--,1100.60,1104.09,1052.70
01/14/2021,1118.40,--,1118.18,1131.13,1111.54
01/13/2021,1119.21,--,1133.81,1138.46,1099.81
01/12/2021,1120.02,--,1108.46,1121.58,1099.15
01/11/2021,1083.92,--,1060.02,1095.89,1057.11
01/08/2021,1091.90,--,1104.88,1107.94,1071.02
01/07/2021,1074.58,--,1055.87,1081.02,1048.57
01/06/2021,1006.79,--,979.4164,1031.36,977.9092
01/05/2021,946.6182,--,917.5639,947.8227,917.4892
01/04/2021,925.7707,--,938.7593,950.0636,910.9947
12/31/2020,917.4779,--,918.739,926.0788,911.5968
12/30/2020,914.7657,--,894.6095,917.1362,894.6095
12/29/2020,886.6498,--,905.3369,905.6418,872.3316
12/28/2020,904.4209,--,941.9006,946.198,904.3452
12/24/2020,921.2843,--,925.0926,931.2919,911.5803
12/23/2020,926.009,--,929.9729,937.3315,913.9488
12/22/2020,920.122,--,900.3022,928.8658,899.726
12/21/2020,889.258,--,861.0864,889.4315,858.3007
12/18/2020,877.388,--,866.29,890.7031,864.833
12/17/2020,862.132,--,853.5216,862.1647,845.4732
12/16/2020,846.7633,--,848.0012,850.3048,827.0676
12/15/2020,849.4107,--,817.3398,850.8272,816.849
12/14/2020,805.622,--,815.3619,818.0061,799.2473
12/11/2020,805.0072,--,807.2552,818.3265,793.3162
12/10/2020,809.9132,--,793.803,813.9027,788.6219
12/09/2020,801.7171,--,840.377,841.4065,791.0718
12/08/2020,838.9718,--,811.0149,841.4454,810.936
12/07/2020,808.7516,--,801.3397,813.5302,800.7694
12/04/2020,800.6991,--,798.4409,801.3502,792.6308
12/03/2020,793.0777,--,808.4485,811.4564,792.079
12/02/2020,802.2806,--,784.9124,803.5207,762.9482
12/01/2020,806.1581,--,835.3889,835.6944,802.7189
11/30/2020,826.8273,--,857.4954,858.8472,807.0127
11/27/2020,848.9448,--,846.1689,861.4018,845.3183
11/25/2020,837.2823,--,821.8941,840.337,811.4784
11/24/2020,828.7012,--,831.3595,840.7561,806.3802
11/23/2020,819.1748,--,785.8391,819.8329,785.5122
11/20/2020,773.5575,--,765.8547,779.0364,763.7544
11/19/2020,761.9059,--,742.5662,763.3769,741.918
11/18/2020,740.9966,--,747.1296,756.3113,734.9339
11/17/2020,746.4635,--,742.3523,755.0694,728.5996
11/16/2020,738.7802,--,725.5259,738.8348,715.8026
